lambda_um,n,k,material,source
3.5,1.40588594,0,SiO2,Malitson 1965; Tan 1998
3.51,1.40558575,0,SiO2,Malitson 1965; Tan 1998
3.52,1.40528416,0,SiO2,Malitson 1965; Tan 1998
3.53,1.40498117,0,SiO2,Malitson 1965; Tan 1998
3.54,1.40467676,0,SiO2,Malitson 1965; Tan 1998
3.55,1.40437094,0,SiO2,Malitson 1965; Tan 1998
3.56,1.4040637,0,SiO2,Malitson 1965; Tan 1998
3.57,1.40375503,0,SiO2,Malitson 1965; Tan 1998
3.58,1.40344493,0,SiO2,Malitson 1965; Tan 1998
3.59,1.40313338,0,SiO2,Malitson 1965; Tan 1998
3.6,1.40282038,0,SiO2,Malitson 1965; Tan 1998
3.61,1.40250593,0,SiO2,Malitson 1965; Tan 1998
3.62,1.40219001,0,SiO2,Malitson 1965; Tan 1998
3.63,1.40187263,0,SiO2,Malitson 1965; Tan 1998
3.64,1.40155376,0,SiO2,Malitson 1965; Tan 1998
3.65,1.40123342,0,SiO2,Malitson 1965; Tan 1998
3.66,1.40091158,0,SiO2,Malitson 1965; Tan 1998
3.67,1.40058824,0,SiO2,Malitson 1965; Tan 1998
3.68,1.4002634,0,SiO2,Malitson 1965; Tan 1998
3.69,1.39993705,0,SiO2,Malitson 1965; Tan 1998
3.7,1.39960917,0,SiO2,Malitson 1965; Tan 1998
3.71,1.39927977,0,SiO2,Malitson 1965; Tan 1998
3.72,1.39894884,0,SiO2,Malitson 1965; Tan 1998
3.73,1.39861636,0,SiO2,Malitson 1965; Tan 1998
3.74,1.39828233,0,SiO2,Malitson 1965; Tan 1998
3.75,1.39794675,0,SiO2,Malitson 1965; Tan 1998
3.76,1.3976096,0,SiO2,Malitson 1965; Tan 1998
3.77,1.39727088,0,SiO2,Malitson 1965; Tan 1998
3.78,1.39693058,0,SiO2,Malitson 1965; Tan 1998
3.79,1.39658869,0,SiO2,Malitson 1965; Tan 1998
3.8,1.39624521,0,SiO2,Malitson 1965; Tan 1998
3.81,1.39590012,0,SiO2,Malitson 1965; Tan 1998
3.82,1.39555342,0,SiO2,Malitson 1965; Tan 1998
3.83,1.3952051,0,SiO2,Malitson 1965; Tan 1998
3.84,1.39485515,0,SiO2,Malitson 1965; Tan 1998
3.85,1.39450357,0,SiO2,Malitson 1965; Tan 1998
3.86,1.39415035,0,SiO2,Malitson 1965; Tan 1998
3.87,1.39379547,0,SiO2,Malitson 1965; Tan 1998
3.88,1.39343893,0,SiO2,Malitson 1965; Tan 1998
3.89,1.39308072,0,SiO2,Malitson 1965; Tan 1998
3.9,1.39272084,0,SiO2,Malitson 1965; Tan 1998
3.91,1.39235927,0,SiO2,Malitson 1965; Tan 1998
3.92,1.391996,0,SiO2,Malitson 1965; Tan 1998
3.93,1.39163104,0,SiO2,Malitson 1965; Tan 1998
3.94,1.39126436,0,SiO2,Malitson 1965; Tan 1998
3.95,1.39089596,0,SiO2,Malitson 1965; Tan 1998
3.96,1.39052583,0,SiO2,Malitson 1965; Tan 1998
3.97,1.39015397,0,SiO2,Malitson 1965; Tan 1998
3.98,1.38978035,0,SiO2,Malitson 1965; Tan 1998
3.99,1.38940498,0,SiO2,Malitson 1965; Tan 1998
4,1.38902785,0,SiO2,Malitson 1965; Tan 1998
4.01,1.38864894,0,SiO2,Malitson 1965; Tan 1998
4.02,1.38826825,0,SiO2,Malitson 1965; Tan 1998
4.03,1.38788576,0,SiO2,Malitson 1965; Tan 1998
4.04,1.38750147,0,SiO2,Malitson 1965; Tan 1998
4.05,1.38711537,0,SiO2,Malitson 1965; Tan 1998
4.06,1.38672745,0,SiO2,Malitson 1965; Tan 1998
4.07,1.3863377,0,SiO2,Malitson 1965; Tan 1998
4.08,1.38594611,0,SiO2,Malitson 1965; Tan 1998
4.09,1.38555267,0,SiO2,Malitson 1965; Tan 1998
4.1,1.38515737,0,SiO2,Malitson 1965; Tan 1998
4.11,1.3847602,0,SiO2,Malitson 1965; Tan 1998
4.12,1.38436114,0,SiO2,Malitson 1965; Tan 1998
4.13,1.3839602,0,SiO2,Malitson 1965; Tan 1998
4.14,1.38355736,0,SiO2,Malitson 1965; Tan 1998
4.15,1.38315261,0,SiO2,Malitson 1965; Tan 1998
4.16,1.38274593,0,SiO2,Malitson 1965; Tan 1998
4.17,1.38233733,0,SiO2,Malitson 1965; Tan 1998
4.18,1.38192678,0,SiO2,Malitson 1965; Tan 1998
4.19,1.38151429,0,SiO2,Malitson 1965; Tan 1998
4.2,1.38109983,0,SiO2,Malitson 1965; Tan 1998
4.21,1.38068339,0,SiO2,Malitson 1965; Tan 1998
4.22,1.38026497,0,SiO2,Malitson 1965; Tan 1998
4.23,1.37984456,0,SiO2,Malitson 1965; Tan 1998
4.24,1.37942214,0,SiO2,Malitson 1965; Tan 1998
4.25,1.37899771,0,SiO2,Malitson 1965; Tan 1998
4.26,1.37857124,0,SiO2,Malitson 1965; Tan 1998
4.27,1.37814274,0,SiO2,Malitson 1965; Tan 1998
4.28,1.37771218,0,SiO2,Malitson 1965; Tan 1998
4.29,1.37727956,0,SiO2,Malitson 1965; Tan 1998
4.3,1.37684487,0,SiO2,Malitson 1965; Tan 1998
4.31,1.3764081,0,SiO2,Malitson 1965; Tan 1998
4.32,1.37596922,0,SiO2,Malitson 1965; Tan 1998
4.33,1.37552824,0,SiO2,Malitson 1965; Tan 1998
4.34,1.37508514,0,SiO2,Malitson 1965; Tan 1998
4.35,1.3746399,0,SiO2,Malitson 1965; Tan 1998
4.36,1.37419252,0,SiO2,Malitson 1965; Tan 1998
